Latitude,Longitude
-5.4346,-33.2596
-5.7636,-33.0233
-7.2802,-31.9282
-30.0054,106.4281
-24.5341,111.9517
-18.7684,117.0244
-12.6472,121.8756
-6.2696,126.5834
-0.7519,130.5184
5.2785,134.8066
11.3163,139.2226
-47.2721,-100.6383
-49.8150,-90.4741
-51.3181,-79.0026
-51.5415,-67.1275
-50.4790,-55.5237
-48.1409,-44.3925
-44.8664,-34.7903
-40.8209,-26.4269
-36.1569,-19.1221
-30.9755,-12.6554
-25.5057,-6.9748
-19.7977,-1.8437
-13.8233,2.9698
-7.7638,7.4963
-1.8472,11.7365
4.2371,16.0561
10.2922,20.4534
16.2486,25.0246
22.1508,29.9762
28.5927,36.1623
33.2395,41.4174
38.0997,48.0470
42.6292,55.9537
46.4236,64.9900
49.2764,75.0902
51.1007,86.6706
51.6048,98.4214
50.8164,110.1966
48.7366,121.5279
45.6733,131.3739
41.6909,140.1836
37.1092,147.7348
32.0472,154.3215
26.5406,160.2312
20.8957,165.4325
15.0025,170.2704
8.9420,174.8540
2.9169,179.1964
-3.2778,-176.4074
-9.1942,-172.1370
-15.1673,-167.6102
-21.0448,-162.7735
-26.7385,-157.5070
-32.1943,-151.6218
-37.1849,-145.0999
-41.7754,-137.5011
-45.9310,-128.1667
-48.7840,-118.8178
-50.8288,-107.5815
-51.6041,-95.9702
-51.0936,-84.0899
-49.2946,-72.6668
-46.4667,-62.6100
-42.5815,-53.3565
-33.2453,-38.9277
-27.8142,-32.8618
-22.3156,-27.6291
-16.3092,-22.5805
-10.5646,-18.1644
-4.5177,-13.7655
1.5891,-9.4286
7.6617,-5.0793
13.6318,-0.6254
19.5485,4.1262
25.2561,9.2303
30.7782,14.9292
35.9704,21.3625
40.7841,28.8617
44.8059,37.1463
48.2278,47.2152
50.4694,57.9675
51.5483,69.8311
51.2951,81.8198
49.8202,92.9632
47.1328,103.5966
43.5460,112.8371
39.1132,121.0705
34.1942,128.0953
28.9133,134.2079
23.3903,139.6169
17.6148,144.5832
3.9015,-149.3902
9.9590,-145.0004
15.8954,-140.4632
21.8784,-135.4717
27.5023,-130.1676
32.9930,-124.0905
37.8336,-117.5633
42.4663,-109.5797
46.2056,-100.8323
49.3027,-89.9969
51.0084,-79.4339
51.6109,-67.5057
